"","company","model","old","fuel","km","price"
"176","현대","그랜져IG 2.2 e-VGT  프리미엄",36,"디젤",50000,2070
"177","현대","그랜져IG 2.2 e-VGT  프리미엄",38,"디젤",40000,2599
"178","현대","그랜져IG 2.4 GDI 프리미엄",39,"가솔린",150000,1650
"179","현대","그랜져HG 300 LPG 프라임",107,"LPG",60000,950
"180","현대","그랜져HG 240  럭셔리",104,"가솔린",140000,830
"181","현대","그랜져HG 300 LPG  이그제큐티브",95,"LPG",180000,930
"182","현대","그랜져IG 2.2 e-VGT 프리미엄",38,"디젤",80000,2100
"183","현대","그랜져TG Q270 럭셔리",149,"가솔린",160000,390
"184","현대","그랜져HG 240  모던",86,"가솔린",80000,990
"185","현대","그랜져HG 220 디젤 프리미엄",62,"디젤",90000,1290
"186","현대","그랜져TG Q270 LPI 모범형 패키지 2",151,"LPG",160000,260
"187","현대","그랜져IG 3.0 GDI 익스클루시브 스페셜",39,"가솔린",1e+05,2200
"188","현대","그랜져IG 3.0 GDI 모던 베이직",25,"가솔린",30000,2500
"189","현대","그랜져IG 2.4 GDI 모던",32,"가솔린",60000,2300
"190","현대","그랜져TG Q270 LPI  장애인용",131,"LPG",150000,320
"191","현대","그랜져HG 하이브리드 2.4 HEV 프리미엄",72,"가솔린+전기",1e+05,1430
"192","현대","그랜저 뉴 럭셔리 Q270  럭셔리",145,"가솔린",170000,290
"193","현대","그랜져HG 300  노블",90,"가솔린",150000,720
"194","현대","그랜져HG 300 LPG 이그제큐티브",89,"LPG",170000,830
"195","현대","그랜져HG 300 LPG 장애인용",102,"LPG",160000,870
"196","현대","그랜져TG L330  탑",176,"가솔린",90000,260
"197","현대","그랜져HG 240  모던",51,"가솔린",150000,1000
"198","현대","그랜져HG 240 럭셔리",102,"가솔린",140000,780
"199","현대","그랜져HG 300 익스클루시브 스페셜 ",52,"가솔린",90000,1730
"200","현대","그랜져HG 240 모던",64,"가솔린",60000,1680
"201","현대","그랜져HG 하이브리드 2.4 HEV 프리미엄",57,"가솔린+전기",70000,2250
"202","현대","그랜져HG 220 디젤  프리미엄",61,"디젤",90000,1630
"203","현대","그랜져HG 240  모던",57,"가솔린",50000,1580
"204","현대","그랜져HG 240 모던",55,"가솔린",80000,1530
"205","현대","더 럭셔리 그랜져 Q270 럭셔리",123,"가솔린",40000,750
"206","현대","그랜져HG 220 디젤 모던 컬렉션",50,"디젤",80000,1630
"207","현대","그랜져IG 2.2 e-VGT 프리미엄",33,"디젤",30000,2690
"208","현대","더 뉴 그랜져 3.3 GDi 익스클루시브",3,"가솔린",3000,4400
"209","현대","그랜져HG 330 셀러브리티",84,"가솔린",1e+05,1269
"210","현대","그랜져TG Q270 기본형 플러스팩",170,"가솔린",140000,270
"211","현대","그랜저 뉴 럭셔리 Q270 LPi  모범형",131,"LPG",90000,220
"212","현대","그랜져IG 3.0 GDI  모던 베이직 ",32,"가솔린",20000,2199
"213","현대","그랜져HG 220 디젤  프리미엄",67,"디젤",140000,1020
"214","현대","그랜져HG 220 디젤  모던",51,"디젤",130000,1200
"215","현대","그랜져IG 2.4 GDI 프리미엄 스페셜",37,"가솔린",10000,2680
"216","현대","그랜져HG 240 모던",50,"가솔린",20000,1890
"217","현대","그랜져HG 240 럭셔리",90,"가솔린",90000,1290
"218","현대","그랜져IG 2.4 GDI 프리미엄",37,"가솔린",10000,2180
"219","현대","그랜져IG 3.0 GDI 익스클루시브 스페셜",28,"가솔린",10000,2980
